"MEDIÇÃO DI 04/03 | TENSÃO: 20,14 V | CORRENTE: 6,13  | (todos os trechos conectdos) - sem falhas ",,,,,,,,,,,,,P1 - P2     P2 - P1,"5,27%","6,87%",,,,
P12,,,,,,,,"0,28",,,"0,08",,P6 - P10  P10 - P6,"0,00%","0,00%",,,,
,,,,,,,,,,,,,P7 - P8   P8 - P7,"9,51%","8,65%",,,,
,,,,,,"6,13",,,,,,,P7 - P11  P11 - P7 ,"12,72%","12,14%",,,,
,,,,,,,,,,,,,P8 - P12  P12 - P8 ,"4,86%","4,50%",,,,
,,,,,,,,,,,,,P9 - P10   P10 - P9,"5,15%","4,42%",,,,
,,,,,,,,,,,,,P10 - P11   P11-P10,"5,68%","6,22%",,,,
,,,,,,,,,,,,,P11 -  P12  P12 - P11,"1,65%","1,36%",,,,
,,,,,,,,,,,,,,,,,,,
"MEDIÇÃO DI 04/03 | TENSÃO: 20,10 V | CORRENTE: 6,20  | TRECHO ENERGIZDO: P6-P7 | TRECHO P2 - P6 DESCONECTDO",,,,,,,,,,,,,P1 - P2     P2 - P1,"4,78%","3,08%",,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P1 - P5     P5 - P1,"10,60%","13,21%",,,,
P1,,"0,29",,,"0,65",,,,,,,,P2 - P3     P3 - P2 ,"1,28%","1,41%",,,,
P2,"0,19",,"0,08",,,-,,,,,,,P2 - P6    P6 - P2,"0,00%","0,00%",,,,
P3,,"0,09",,"0,27",,,"0,49",,,,,,P3 - P4   P4 - P3,"4,34%","2,97%",,,,
P4,,,"0,18",,,,,"0,10",,,,,P3 - P7   P7 - P3,"7,99%","6,59%",,,,
P5,"0,81",,,,,"1,62",,,"0,32",,,,P4 - P8   P8 - P4 ,"1,58%","2,15%",,,,
P6,,-,,,"1,68",,"1,71",,,"1,4",,,P5 - P6   P6 - P5,"26,43%","27,41%",,,,
P7,,,"0,40",,,"1,65",,"0,55",,,"0,28",,P5 - P9   P9 - P5 ,"5,15%","4,13%",,,,
P8,,,,"0,13",,,"0,50",,,,,"0,07",P6 - P7  P7 - P6 ,"27,90%","26,92%",,,,
P9,,,,,"0,25",,,,,"0,34",,,P6 - P10  P10 - P6,"22,84%","22,35%",,,,
P10,,,,,,"1,37",,,"0,38",,"0,46",,P7 - P8   P8 - P7,"8,99%","8,17%",,,,
P11,,,,,,,"0,25",,,"0,43",,"0,38",P7 - P11  P11 - P7 ,"4,62%","4,09%",,,,
P12,,,,,,,,"0,07",,,"0,36",,P8 - P12  P12 - P8 ,"1,19%","1,08%",,,,"6,13"
,,,,,,,,,,,,,P9 - P10   P10 - P9,"5,55%","6,22%",,,,
,,,,,,,,,,,,,P10 - P11   P11-P10,"7,44%","6,95%",,,,
,,,,,,,,,,,,,P11 -  P12  P12 - P11,"6,13%","5,84%",,,,
